report_date,market_name,contract_code,open_interest,dealer_long,dealer_short,asset_manager_long,asset_manager_short,leveraged_long,leveraged_short,other_long,other_short,nonreportable_long,nonreportable_short,symbol,available_at,leveraged_net,leveraged_net_pct_oi,leveraged_weekly_change,leveraged_percentile,leveraged_zscore,asset_manager_net,asset_manager_net_pct_oi,asset_manager_weekly_change,asset_manager_percentile,asset_manager_zscore,dealer_net,dealer_net_pct_oi,dealer_weekly_change,other_net,other_net_pct_oi,other_weekly_change,nonreportable_net,nonreportable_net_pct_oi,nonreportable_weekly_change,date,close,price_sma,price_momentum,price_normalized,state,extreme_direction,proxy_symbol
2017-09-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,661762,37175,136895,363842,165552,70295,130332,21768,51695,70793,79400,ES,2017-09-22 15:30:00-04:00,-60037,-9.072294873383482,-5.40992142845845,45.51282051282051,-0.03179682961067982,198290,29.963944741462942,8.135607011308146,96.7948717948718,1.655138983260485,-99720,-15.068861614900825,-2.1119899317877024,-29927,-4.522320713489139,-0.5953979828471789,-8607,-1.3006186514184859,-0.01832544694347127,,,,,,UNWINDING_LONG,long,SPY
2017-09-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,657752,38816,128310,350922,164887,71178,130992,21726,51689,73570,80334,ES,2017-09-29 15:30:00-04:00,-59814,-9.093700969362313,-0.02140609597883092,44.871794871794876,-0.047034840227900755,186035,28.28345637869592,-1.6804883627670222,93.58974358974359,1.4329754593319515,-89494,-13.606039966431117,1.462821648469708,-29963,-4.555364331845437,-0.03304361835629788,-6764,-1.028351111057055,0.27226754036143097,2017-10-01,257.1499938964844,242.37000122070313,0.06348217804381444,579.0851375571781,UNWINDING_LONG,long,SPY
2017-10-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,650232,43525,125659,330121,163897,73270,119914,20817,51202,78560,85621,ES,2017-10-06 15:30:00-04:00,-46644,-7.173439633853763,1.9202613355085498,69.87179487179486,0.53897496416846,166224,25.563798767209242,-2.719657611486678,78.2051282051282,1.0711020336295014,-82134,-12.631491529177278,0.9745484372538389,-30385,-4.672947501814737,-0.11758316996929974,-7061,-1.0859201023634641,-0.057568991306409245,,,,,,NORMAL,,SPY
2017-10-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,665557,45828,137705,329610,162270,78794,120208,22695,50563,76048,82229,ES,2017-10-13 15:30:00-04:00,-41414,-6.222457280142797,0.9509823537109661,82.6923076923077,0.8250485109593834,167340,25.142850274281543,-0.42094849292769965,76.92307692307693,1.0182956388364897,-91877,-13.804527636250539,-1.1730361070732602,-27868,-4.187169543705497,0.4857779581092396,-6181,-0.9286958141827071,0.15722428818075707,,,,,,NORMAL,,SPY
2017-10-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,669706,47256,137588,327509,164142,79270,117896,24379,51275,76970,84482,ES,2017-10-20 15:30:00-04:00,-38626,-5.7676054865866515,0.4548517935561458,85.25641025641025,0.9564560413531743,163367,24.39383849032262,-0.7490117839589239,74.35897435897436,0.9175883250623443,-90332,-13.4883068092566,0.3162208269939395,-26896,-4.016090642759659,0.17107890094583844,-7512,-1.1216862324661867,-0.19299041828347963,,,,,,NORMAL,,SPY
2017-10-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,692744,54482,148913,325035,163325,81580,118544,24794,50155,77531,82484,ES,2017-10-27 15:30:00-04:00,-36964,-5.335881653251418,0.43172383333523356,87.17948717948718,1.0826960422939618,161710,23.34339958195235,-1.0504389083702677,71.7948717948718,0.7779551917407656,-94431,-13.631442495351818,-0.14313568609521887,-25361,-3.6609483445544098,0.35514229820524923,-4953,-0.7149827353250263,0.4067034971411604,2017-11-01,265.010009765625,246.11800231933594,0.07391500254230701,596.7853844123856,NORMAL,,SPY
2017-10-31,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,701203,53776,149343,319199,166047,83202,113829,24884,51251,76479,77071,ES,2017-11-03 15:30:00-04:00,-30627,-4.367779373448203,0.9681022798032153,92.3076923076923,1.3750985939807214,153152,21.841321272156566,-1.5020783097957846,66.02564102564102,0.5787100047276661,-95567,-13.629006150857883,0.0024363444939350387,-26367,-3.7602520240215744,-0.09930367946716467,-592,-0.08442633588276148,0.6305563994422648,,,,,,EXTREME_LONG,long,SPY
2017-11-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,715963,63401,141178,314136,166475,90328,127753,25450,51175,79043,85777,ES,2017-11-10 15:30:00-05:00,-37425,-5.227225429247042,-0.8594460557988395,87.17948717948718,1.0886149331700774,147661,20.624110463808883,-1.2172108083476836,60.256410256410255,0.4176272825096268,-77777,-10.863270867349291,2.765735283508592,-25725,-3.5930627700034776,0.1671892540180968,-6734,-0.9405513972090737,-0.8561250613263122,,,,,,UNWINDING_LONG,long,SPY
2017-11-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,720635,60663,143706,310877,163387,95080,125688,25880,56972,84657,87403,ES,2017-11-17 15:30:00-05:00,-30608,-4.2473651709950255,0.9798602582520166,92.94871794871796,1.383695292057327,147490,20.466671754771834,-0.1574387090370486,60.256410256410255,0.4021093094260302,-83043,-11.523586836609379,-0.660315969260088,-31092,-4.314528159192934,-0.721465389189456,-2746,-0.38105282146995356,0.5594985757391201,,,,,,EXTREME_LONG,long,SPY
2017-11-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,738955,71417,143935,305927,163160,98590,125230,23781,67729,91280,90942,ES,2017-11-24 15:30:00-05:00,-26640,-3.6050909730633123,0.6422741979317133,96.15384615384616,1.568160764128918,142767,19.32012098165653,-1.1465507731153046,55.769230769230774,0.2531286940139489,-72518,-9.81358810753023,1.7099987290791496,-43948,-5.947317495652644,-1.6327893364597106,338,0.04574026835192942,0.42679308982188296,2017-12-01,266.8599853515625,249.15700073242186,0.0782657053960648,600.9514096586911,EXTREME_LONG,long,SPY
2017-11-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,756344,72959,145832,309201,163761,99863,128337,24470,67940,92101,92724,ES,2017-12-01 15:30:00-05:00,-28474,-3.7646890832742774,-0.15959811021096515,93.58974358974359,1.499600041272556,145440,19.229345377235756,-0.0907756044207737,55.769230769230774,0.24836473835732947,-72873,-9.634901579175613,0.17868652835461596,-43470,-5.7473847878743,0.19993270777834393,-623,-0.08236992691156406,-0.1281101952634935,2017-12-01,266.8599853515625,249.15700073242186,0.0782657053960648,600.9514096586911,EXTREME_LONG,long,SPY
2017-12-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,780215,77761,154397,295351,159878,106236,128540,24528,67269,89584,83377,ES,2017-12-08 15:30:00-05:00,-22304,-2.858699204706395,0.9059898785678824,98.71794871794873,1.764717696714263,135473,17.363547227366816,-1.8657981498689402,49.358974358974365,-0.0015964915562272058,-76636,-9.822420743000327,-0.18751916382471379,-42741,-5.478105394026006,0.26927939384829447,6207,0.7955499445665618,0.8779198714781259,,,,,,EXTREME_LONG,long,SPY
2017-12-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,863122,77745,166284,300830,160804,89150,124302,24435,42768,97840,95842,ES,2017-12-15 15:30:00-05:00,-35152,-4.072657167816369,-1.2139579631099742,91.66666666666666,1.382338524188023,140026,16.22319903791121,-1.1403481894556045,45.51282051282051,-0.15174116357785072,-88539,-10.257993655589823,-0.43557291258949604,-18333,-2.1240334506593506,3.3540719433666553,1998,0.23148523615433275,-0.564064708412229,,,,,,EXTREME_LONG,long,SPY
2017-12-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,641391,38525,152171,316447,161453,81213,114159,24110,37796,76515,71231,ES,2017-12-22 15:30:00-05:00,-32946,-5.1366483159258545,-1.0639911481094853,85.8974358974359,1.074769428546452,154994,24.165290750883628,7.942091712972417,78.2051282051282,0.9522195745044839,-113646,-17.718677062821275,-7.460683407231452,-13686,-2.1337998194549033,-0.009766368795552705,5284,0.8238344473184064,0.5923492111640736,,,,,,UNWINDING_LONG,long,SPY
2017-12-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,663937,48437,165038,315977,163264,85425,116550,25782,36038,78053,72783,ES,2017-12-29 15:30:00-05:00,-31125,-4.687944789942419,0.44870352598343555,87.82051282051282,1.2132894117964494,152713,23.00112811908359,-1.164162631800039,75.64102564102564,0.8061008855149343,-116601,-17.562057845849832,0.15661921697144265,-10256,-1.5447248760048016,0.5890749434501017,5270,0.7937500094135438,-0.030084437904862593,2018-01-01,281.8999938964844,253.77299957275392,0.12207936428979273,634.8205351644968,NORMAL,,SPY
2018-01-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,662131,47343,173860,325756,163384,69393,103396,26468,36288,79809,71841,ES,2018-01-05 15:30:00-05:00,-34003,-5.1353886164520315,-0.44744382650961256,85.8974358974359,1.0729098951329537,162372,24.52263977974147,1.5215116606578825,80.76923076923077,1.0400243661428394,-126517,-19.107548204207326,-1.545490358357494,-9820,-1.483090204204304,0.06163467180049764,7968,1.2033872451221888,0.40963723570864496,,,,,,UNWINDING_LONG,long,SPY
2018-01-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,704939,48166,181169,352879,164173,70378,125435,27496,37827,83429,73744,ES,2018-01-12 15:30:00-05:00,-55057,-7.810179320480212,-2.6747907040281804,56.41025641025641,0.25559122489955505,188706,26.769124704407048,2.2464849246655767,92.3076923076923,1.372431670814974,-133003,-18.86730624919319,0.2402419550141346,-10331,-1.4655168745097094,0.017573329694594575,9685,1.3738777397760658,0.170490494653877,,,,,,UNWINDING_LONG,long,SPY
2018-01-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,719920,44430,191133,355864,166194,85071,124619,26022,39875,79645,69211,ES,2018-01-19 15:30:00-05:00,-39548,-5.49338815423936,2.3167911662408516,83.33333333333334,0.9775823008726897,189670,26.345982886987443,-0.4231418174196051,87.82051282051282,1.3231126935137543,-146703,-20.37768085342816,-1.5103746042349684,-13853,-1.9242415823980443,-0.45872470788833497,10434,1.4493277030781198,0.075449963302054,,,,,,NORMAL,,SPY
2018-01-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,753197,47854,211099,363756,162238,92258,121770,25702,42192,80168,72438,ES,2018-01-26 15:30:00-05:00,-29512,-3.918231219720737,1.5751569345186232,93.58974358974359,1.4647722053523833,201518,26.75501893926821,0.40903605228076856,92.94871794871796,1.3899409549320993,-163245,-21.67361261396421,-1.2959317605360496,-16490,-2.1893342644752964,-0.2650926820772521,7730,1.0262919262822343,-0.42303577679588544,2018-02-01,271.6499938964844,257.1299987792969,0.056387323912739304,611.7381987816678,EXTREME_LONG,long,SPY
2018-01-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,755004,43300,230778,345036,156527,100245,105870,28207,41769,93026,74869,ES,2018-02-02 15:30:00-05:00,-5625,-0.7450291654083951,3.173202054312342,100.0,2.4327706540684257,188509,24.967947189683763,-1.7870717495844488,82.6923076923077,1.1414786901005822,-187478,-24.831391621766244,-3.1577790078020342,-13562,-1.7962818740033166,0.3930523904719798,18157,2.4048879211235965,1.3785959948413622,,,,,,EXTREME_LONG,long,SPY
2018-02-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,764134,51956,221702,331833,155497,90405,98733,35093,45036,90744,79064,ES,2018-02-09 15:30:00-05:00,-8328,-1.0898612023545609,-0.3448320369461657,99.35897435897436,2.27256120221886,176336,23.0765808091251,-1.8913663805586616,76.28205128205127,0.8724285071226584,-169746,-22.214166625225417,2.617224996540827,-9943,-1.3012115676046347,0.4950703063986819,11680,1.528527718960287,-0.8763602021633095,,,,,,EXTREME_LONG,long,SPY
2018-02-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,745984,59537,194606,308061,155108,85290,99067,31564,45671,88356,78358,ES,2018-02-16 15:30:00-05:00,-13777,-1.846822451956074,-0.7569612496015132,98.71794871794873,2.0004283100393536,152953,20.50352286376115,-2.5730579453639493,63.46153846153846,0.5041612994450412,-135069,-18.106152410775564,4.108014214449852,-14107,-1.8910593256691832,-0.5898477580645485,9998,1.3402432223747427,-0.18828449658554436,,,,,,EXTREME_LONG,long,SPY
2018-02-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,743270,67771,199084,322053,151132,75499,108621,32164,45979,82225,74896,ES,2018-02-23 15:30:00-05:00,-33122,-4.456254120306214,-2.6094316683501404,87.17948717948718,1.1987321013496404,170921,22.995815786995305,2.492292923234153,76.28205128205127,0.8779723250739556,-131313,-17.666931263201796,0.4392211475737682,-13815,-1.8586785421179384,0.03238078355124485,7329,0.9860481386306457,-0.35419508374409703,2018-03-01,263.1499938964844,259.3009979248047,-0.007018662694234169,592.5967490983462,UNWINDING_LONG,long,SPY
2018-02-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,751478,54221,200610,326170,146268,76565,105300,33155,44497,79811,73249,ES,2018-03-02 15:30:00-05:00,-28735,-3.8237979022672652,0.632456218038949,91.66666666666666,1.3728418919220189,179902,23.93975605406945,0.9439402670741437,80.12820512820514,1.023174125866535,-146389,-19.480144461980256,-1.8132131987784597,-11342,-1.509292354533333,0.3493861875846054,6562,0.8732125225222828,-0.1128356161083629,,,,,,EXTREME_LONG,long,SPY
2018-03-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,744178,57590,189097,306569,147962,77608,99052,28992,45365,80215,69499,ES,2018-03-09 15:30:00-05:00,-21444,-2.8815686569611034,0.9422292453061618,96.7948717948718,1.6314502396783772,158607,21.313046072310655,-2.6267099817587933,67.94871794871796,0.637433826137833,-131507,-17.671444197490384,1.8087002644898718,-16373,-2.200145664074993,-0.6908533095416598,10716,1.4399780697628792,0.5667655472405965,,,,,,EXTREME_LONG,long,SPY
2018-03-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,841393,63712,188439,308898,143638,78465,108207,29627,44348,88937,85007,ES,2018-03-16 15:30:00-04:00,-29742,-3.5348523222798383,-0.6532836653187348,94.87179487179486,1.417367459997582,165260,19.641237804450476,-1.6718082678601789,59.61538461538461,0.3905200109529366,-124727,-14.823869464091096,2.847574733399288,-14721,-1.7495985823509348,0.450547081724058,3930,0.4670825642713928,-0.9728955054914865,,,,,,EXTREME_LONG,long,SPY
2018-03-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,584448,28963,162095,285701,135265,66779,88532,27069,34721,74113,62011,ES,2018-03-23 15:30:00-04:00,-21753,-3.7219735545335086,-0.1871212322536704,91.66666666666666,1.348443514474262,150436,25.73984340779676,6.098605603346282,88.46153846153845,1.2866113188045822,-133132,-22.77910096364433,-7.955231499553232,-7652,-1.3092696014016645,0.4403289809492703,12102,2.0706718134034166,1.6035892491320238,,,,,,EXTREME_LONG,long,SPY
2018-03-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,645461,41771,171070,255565,139681,83659,80879,30555,35386,93762,78297,ES,2018-03-30 15:30:00-04:00,2780,0.43069991835292915,4.152673472886438,100.0,2.519498806256046,115884,17.953679618133396,-7.786163789663362,51.92307692307693,0.14696093615177266,-129299,-20.032039116228557,2.7470618474157718,-4831,-0.7484573041593527,0.5608122972423117,15465,2.395961955873399,0.32529014246998234,2018-04-01,264.510009765625,261.5719985961914,-0.00880602456318669,595.659416783955,EXTREME_LONG,long,SPY
2018-04-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,672875,49957,163550,251341,150205,85108,83782,29894,36367,108194,90591,ES,2018-04-06 15:30:00-04:00,1326,0.19706483373583503,-0.23363508461709412,99.35897435897436,2.3900762668798015,101136,15.030429128738621,-2.923250489394775,43.58974358974359,-0.2785185695398143,-113593,-16.88173880735649,3.1503003088720654,-6473,-0.961991454579231,-0.21353415041987822,17603,2.6160876834478914,0.22012572757449256,,,,,,EXTREME_LONG,long,SPY
2018-04-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,682253,46432,155702,246082,141400,80263,85244,31474,36181,114076,99800,ES,2018-04-13 15:30:00-04:00,-4981,-0.7300810696325264,-0.9271459033683614,98.71794871794873,2.0749809144181284,104682,15.343574890839616,0.3131457621009943,44.230769230769226,-0.2216901002429698,-109270,-16.01605269599401,0.8656861113624821,-4707,-0.6899200150090948,0.27207143957013613,14276,2.092478889796014,-0.5236087936518774,,,,,,EXTREME_LONG,long,SPY
2018-04-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,679003,40180,161935,265940,143601,79619,86419,30007,34291,113395,102895,ES,2018-04-20 15:30:00-04:00,-6800,-1.0014683293004596,-0.2713872596679332,97.43589743589743,1.9580502926077419,122339,18.01744616739543,2.673871276555815,53.84615384615385,0.19355251445423952,-121755,-17.931437710879038,-1.9153850148850289,-4284,-0.6309250474592896,0.058994967549805266,10500,1.5463849202433568,-0.5460939695526572,,,,,,EXTREME_LONG,long,SPY
2018-04-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,685976,42949,183576,260777,142725,83497,81015,33277,30949,116892,99125,ES,2018-04-27 15:30:00-04:00,2482,0.3618202386089309,1.3632885679093905,99.35897435897436,2.2905169507075094,118052,17.209348432015116,-0.8080977353803149,50.641025641025635,0.0797162008980507,-140627,-20.500279893174106,-2.568842182295068,2328,0.339370473602575,0.9702955210618646,17767,2.590032304337178,1.0436473840938212,2018-05-01,270.94000244140625,263.98899841308594,-0.038879005648729134,610.1393439919071,EXTREME_LONG,long,SPY
2018-05-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,680823,42572,176900,250532,154077,84808,65861,31001,29839,117648,99883,ES,2018-05-04 15:30:00-04:00,18947,2.782955334940212,2.4211350963312808,100.0,2.8819961315147555,96455,14.167412088017002,-3.0419363439981133,41.66666666666667,-0.3779175599946042,-134328,-19.730238255758106,0.770041637416,1162,0.1706757850425147,-0.16869468856006029,17765,2.6093419288126283,0.01930962447545026,,,,,,EXTREME_LONG,long,SPY
2018-05-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,696497,45267,147818,248621,159868,73573,72049,30360,32367,124354,110072,ES,2018-05-11 15:30:00-04:00,1524,0.21880926981738616,-2.564146065122826,98.07692307692307,2.1245007657492643,88753,12.742768454135481,-1.4246436338815212,33.97435897435898,-0.5888968687583356,-102551,-14.72382508467373,5.006413171084375,-2007,-0.2881563021807703,-0.45883208722328506,14282,2.050547238537998,-0.5587946902746301,,,,,,EXTREME_LONG,long,SPY
2018-05-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,710995,43780,141319,251250,163849,73897,74097,30440,34270,128166,113997,ES,2018-05-18 15:30:00-04:00,-200,-0.028129593035112765,-0.2469388628524989,96.7948717948718,2.016578527217441,87401,12.292772804309454,-0.44999564982602713,30.128205128205128,-0.6492125270723855,-97539,-13.71866187525932,1.0051632094144107,-3830,-0.5386817066224094,-0.2505254044416391,14169,1.9928410185725638,-0.05770621996543435,,,,,,EXTREME_LONG,long,SPY
2018-05-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,731490,46994,130259,257946,183254,73707,76146,28201,35040,133697,115845,ES,2018-05-25 15:30:00-04:00,-2439,-0.3334290284214412,-0.3052994353863284,96.15384615384616,1.9013348840450368,74692,10.210939315643413,-2.0818334886660406,20.51282051282051,-0.9663997134888098,-83265,-11.382930730426937,2.3357311448323834,-6839,-0.934941010813545,-0.39625930419113553,17852,2.440498161287236,0.44765714271467205,2018-06-01,271.2799987792969,266.36799774169924,-0.0013620288072912355,610.9049937324068,EXTREME_LONG,long,SPY
2018-05-29,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,758381,54317,119700,254390,188975,76097,84834,27483,36328,145748,128198,ES,2018-06-01 15:30:00-04:00,-8737,-1.1520594529662531,-0.8186304245448119,92.94871794871796,1.661354886503355,65415,8.625611664849199,-1.5853276507942144,14.743589743589745,-1.2055503564923755,-65383,-8.621392149856074,2.7615385805708623,-8845,-1.166300316068045,-0.2313593052545,17550,2.3141402540411744,-0.12635790724606144,2018-06-01,271.2799987792969,266.36799774169924,-0.0013620288072912355,610.9049937324068,EXTREME_LONG,long,SPY
2018-06-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,764297,48325,118168,262001,188782,69296,77076,26936,35685,146619,133466,ES,2018-06-08 15:30:00-04:00,-7780,-1.0179288941340867,0.1341305588321664,93.58974358974359,1.6682537774831447,73219,9.579914614344947,0.954302949495748,19.871794871794872,-1.0404145254273733,-69843,-9.138201510669282,-0.5168093608132072,-8749,-1.1447120687376766,0.02158824733036835,13153,1.720927859196098,-0.5932123948450765,,,,,,EXTREME_LONG,long,SPY
2018-06-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,808289,40460,125754,278793,186978,72399,81649,22719,35123,152912,137778,ES,2018-06-15 15:30:00-04:00,-9250,-1.1443926615356637,-0.12646376740157694,92.3076923076923,1.6100010356198342,91815,11.359179699340212,1.7792650849952647,26.923076923076923,-0.7453129745618206,-85294,-10.552413802488962,-1.4142122918196804,-12404,-1.534599629587932,-0.38988756085025544,15134,1.8723501123979172,0.15142225320181923,,,,,,EXTREME_LONG,long,SPY
2018-06-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,584145,25933,110743,294696,183968,64466,82099,23865,36652,74865,70364,ES,2018-06-22 15:30:00-04:00,-17633,-3.018599833945339,-1.8742071724096754,88.46153846153845,1.1276392647936397,110728,18.955567538881613,7.596387839541402,64.74358974358975,0.4662151870725517,-84810,-14.518655470816322,-3.96624166832736,-12787,-2.18901129000505,-0.654411660417118,4501,0.7705278655128436,-1.1018222468850736,,,,,,UNWINDING_LONG,long,SPY
2018-06-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,592189,30956,101563,278646,190289,71037,85934,27098,36323,78365,71994,ES,2018-06-29 15:30:00-04:00,-14897,-2.5155820185785283,0.5030178153668108,89.74358974358975,1.24078203665169,88357,14.920405478656308,-4.035162060225305,47.43589743589743,-0.16400636017463519,-70607,-11.923051593325779,2.595603877490543,-9225,-1.5577796953337533,0.6312315946712967,6371,1.0758389635741292,0.30531109806128565,2018-07-01,281.3299865722656,269.37799682617185,0.0690860463516968,633.5369155744194,NORMAL,,SPY
2018-07-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,591994,32045,99409,275559,191864,65397,79632,26399,35598,82827,75724,ES,2018-07-06 15:30:00-04:00,-14235,-2.40458518160657,0.11099683697195806,89.74358974358975,1.2555061973609656,83695,14.137812207556157,-0.7825932711001506,45.51282051282051,-0.28086027256398666,-67364,-11.379169383473482,0.5438822098522973,-9199,-1.5539008841305824,0.0038788112031709066,7103,1.1998432416544762,0.12400427808034697,,,,,,NORMAL,,SPY
2018-07-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,603377,33224,94923,282646,187590,64000,85665,23017,35705,82355,81359,ES,2018-07-13 15:30:00-04:00,-21665,-3.5906241040013125,-1.1860389223947423,83.97435897435898,0.9475445361035705,95056,15.753997915068025,1.6161857075118675,51.92307692307693,-0.008192013307071642,-61699,-10.225613505320885,1.1535558781525967,-12688,-2.1028312315517494,-0.5489303474211671,996,0.16507092580592234,-1.0347723158485538,,,,,,UNWINDING_LONG,long,SPY
2018-07-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,617923,39961,90495,282273,187652,66372,92386,21763,39206,87429,88059,ES,2018-07-20 15:30:00-04:00,-26014,-4.209909648936842,-0.6192855449355292,76.92307692307693,0.7813459647859863,94621,15.31274932313573,-0.44124859193229504,50.0,-0.07068351510246355,-50534,-8.178041600652508,2.047571904668377,-17443,-2.8228436229109453,-0.7200123913591958,-630,-0.10195445063543516,-0.2670253764413575,,,,,,NORMAL,,SPY
2018-07-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,618863,41802,94752,277990,187013,68900,94628,21249,37274,85891,82164,ES,2018-07-27 15:30:00-04:00,-25728,-4.157301373648125,0.05260827528871648,76.92307692307693,0.7839234470412471,90977,14.700668807151178,-0.6120805159845517,48.07692307692308,-0.16157212380512687,-52950,-8.556013204861173,-0.3779716042086658,-16025,-2.5894260926893353,0.23341753022160994,3727,0.6022334506991046,0.7041879013345398,2018-08-01,290.30999755859375,272.6939971923828,0.09753879566156837,653.7593189215341,NORMAL,,SPY
2018-07-31,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,615259,42418,101593,273244,188958,67770,83216,21573,40951,86947,77235,ES,2018-08-03 15:30:00-04:00,-15446,-2.510487453251395,1.6468139203967302,89.1025641025641,1.1859678839966095,84286,13.69927136376713,-1.0013974433840485,42.30769230769231,-0.3204231233173373,-59175,-9.617900753991409,-1.061887549130235,-19378,-3.1495679055487202,-0.5601418128593849,9712,1.5785222158473098,0.9762887651482052,,,,,,NORMAL,,SPY
2018-08-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,631017,46636,99090,279316,188170,68888,92792,21790,41778,89293,84093,ES,2018-08-10 15:30:00-04:00,-23904,-3.7881705247243733,-1.2776830714729783,78.84615384615384,0.8510745347977204,91146,14.444301817542158,0.7450304537750281,48.717948717948715,-0.18858563850425475,-52454,-8.31261281391785,1.3052879400735584,-19988,-3.1675850254430546,-0.01801711989433441,5200,0.8240665465431201,-0.7544556693041897,,,,,,NORMAL,,SPY
2018-08-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,628840,47822,99155,272900,187295,69782,90811,23095,41794,90466,85011,ES,2018-08-17 15:30:00-04:00,-21029,-3.3440938871573054,0.44407663756706794,84.61538461538461,0.9512975806340712,85605,13.613160740410915,-0.8311410771312424,41.66666666666667,-0.3211095841841462,-51333,-8.163125755359074,0.1494870585587762,-18699,-2.9735703835633864,0.19401464187966821,5455,0.8674702627059347,0.04340371616281469,,,,,,NORMAL,,SPY
2018-08-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,632271,51764,95339,276040,187532,67542,98345,21852,42282,91431,85131,ES,2018-08-24 15:30:00-04:00,-30803,-4.871803388104151,-1.527709500946846,67.94871794871796,0.5563953953608569,88508,13.998427889306958,0.38526714889604285,45.51282051282051,-0.2497465329600098,-43575,-6.89182328463586,1.2713024707232137,-20430,-3.2312094022974325,-0.25763901873404604,6300,0.9964081857304858,0.1289379230245511,,,,,,NORMAL,,SPY
2018-08-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,646116,48795,112231,285061,178469,68281,98897,21975,41227,90857,84144,ES,2018-08-31 15:30:00-04:00,-30616,-4.738468015031357,0.13333537307279464,68.58974358974359,0.5865691717990802,106592,16.49734722557559,2.4989193362686333,58.333333333333336,0.1671455519939383,-63436,-9.81805124776356,-2.9262279631276993,-19252,-2.9796507128750873,0.25155868942234516,6713,1.038977521064329,0.04256933533384322,2018-09-01,290.7200012207031,275.26499633789064,0.07300508821533105,654.6826206236805,NORMAL,,SPY
