report_date,market_name,contract_code,open_interest,dealer_long,dealer_short,asset_manager_long,asset_manager_short,leveraged_long,leveraged_short,other_long,other_short,nonreportable_long,nonreportable_short,symbol,available_at,leveraged_net,leveraged_net_pct_oi,leveraged_weekly_change,leveraged_percentile,leveraged_zscore,asset_manager_net,asset_manager_net_pct_oi,asset_manager_weekly_change,asset_manager_percentile,asset_manager_zscore,dealer_net,dealer_net_pct_oi,dealer_weekly_change,other_net,other_net_pct_oi,other_weekly_change,nonreportable_net,nonreportable_net_pct_oi,nonreportable_weekly_change,date,close,price_sma,price_momentum,price_normalized,state,extreme_direction,proxy_symbol
2010-09-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,943773,89098,197373,422728,180566,73458,212630,14590,32860,124900,101345,ES,2010-09-10 15:30:00-04:00,-139172,-14.74634260569014,0.6570436415299898,,,242162,25.658924338797572,-0.2315133329629937,,,-108275,-11.47256808575791,-1.197570030468457,-18270,-1.935846861480462,0.15527641398752068,23555,2.4958332141309403,0.6167633079139405,,,,,,NORMAL,,SPY
2010-09-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,1103826,88846,220161,430902,170997,83782,216454,15342,34270,177274,154265,ES,2010-09-17 15:30:00-04:00,-132672,-12.019285648281523,2.7270569574086174,,,259905,23.54583059286518,-2.1130937459323924,,,-131315,-11.896349605825556,-0.4237815200676458,-18928,-1.7147630151853643,0.2210838462950977,23009,2.0844770824387178,-0.4113561316922225,,,,,,NORMAL,,SPY
2010-09-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,779357,22300,226215,426341,157099,75028,147903,13546,23802,132822,115017,ES,2010-09-24 15:30:00-04:00,-72875,-9.35065701597599,2.6686286323055324,,,269242,34.54668399719256,11.00085340432738,,,-203915,-26.16451767290215,-14.268168067076594,-10256,-1.3159566155176639,0.3988063996677005,17805,2.284575618105695,0.2000985356669771,2010-10-01,118.48999786376953,111.47299880981446,0.1479364121534583,266.83180377485047,NORMAL,,SPY
2010-09-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,811413,25661,252754,425709,152890,87158,144598,13981,24415,131177,109029,ES,2010-10-01 15:30:00-04:00,-57440,-7.0790090866180355,2.271647929357955,,,272819,33.622705083601076,-0.9239789135914833,,,-227093,-27.987350461478925,-1.8228327885767754,-10434,-1.2859049583874056,0.030051657130258258,22148,2.729559422883291,0.44498380477759625,2010-10-01,118.48999786376953,111.47299880981446,0.1479364121534583,266.83180377485047,NORMAL,,SPY
2010-10-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,829851,23684,256388,420027,151571,89560,146359,15963,26961,137451,105408,ES,2010-10-08 15:30:00-04:00,-56799,-6.844481720212424,0.23452736640561156,,,268456,32.349903777907116,-1.2728013056939602,,,-232704,-28.041660490859204,-0.054310029380278735,-10998,-1.3252981559340171,-0.039393197546611525,32043,3.8612955819779695,1.1317361590946784,,,,,,NORMAL,,SPY
2010-10-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,843960,26643,272239,424492,145093,88866,147296,16960,24806,138266,105792,ES,2010-10-15 15:30:00-04:00,-58430,-6.923313901132755,-0.0788321809203314,,,279399,33.10571591070667,0.7558121327995551,,,-245596,-29.100431300061615,-1.0587708092024108,-7846,-0.9296649130290535,0.3956332429049636,32474,3.8478126925446703,-0.013482889433299228,,,,,,NORMAL,,SPY
2010-10-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,854075,26411,269453,429311,142194,87661,152056,17405,24445,130971,103610,ES,2010-10-22 15:30:00-04:00,-64395,-7.539735971665252,-0.6164220705324963,,,287117,33.61730527178526,0.5115893610785918,,,-243042,-28.45675145625384,0.6436798438077744,-7040,-0.8242835816526651,0.10538133137638839,27361,3.2035828235225243,-0.644229869022146,,,,,,NORMAL,,SPY
2010-10-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,869680,24870,289739,428735,136109,98169,139094,16480,28128,127397,102581,ES,2010-10-29 15:30:00-04:00,-40925,-4.705753840493055,2.8339821311721964,,,292626,33.647548523594885,0.030243251809622507,,,-264869,-30.45591481924386,-1.9991633629900178,-11648,-1.3393432066967161,-0.515059625044051,24816,2.8534633428387455,-0.35011948068377885,2010-11-01,118.48999786376953,112.58299865722657,0.07454431369314805,266.83180377485047,NORMAL,,SPY
2010-11-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,879024,26446,294924,419410,135406,104264,137142,18821,28714,117601,90356,ES,2010-11-05 15:30:00-04:00,-32878,-3.740284679371667,0.9654691611213884,,,284004,32.30901545350297,-1.3385330700919127,,,-268478,-30.542738309761734,-0.08682349051787597,-9893,-1.1254527748957934,0.2138904318009227,27245,3.09946031052622,0.24599696768747448,,,,,,NORMAL,,SPY
2010-11-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,904392,31779,308844,424390,128696,102041,148355,20537,26868,121344,87328,ES,2010-11-12 15:30:00-05:00,-46314,-5.121009473768012,-1.3807247943963454,,,295694,32.69533565091243,0.3863201974094608,,,-277065,-30.635498766021815,-0.09276045626008056,-6331,-0.7000283063096533,0.42542446858614014,34016,3.761200895187043,0.6617405846608229,,,,,,NORMAL,,SPY
2010-11-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,921238,36753,293429,420271,138434,100480,158553,19839,25864,140196,101261,ES,2010-11-19 15:30:00-05:00,-58073,-6.303799886674236,-1.1827904129062237,,,281837,30.593288596432192,-2.1020470544802414,,,-256676,-27.86207255888272,2.773426207139096,-6025,-0.6540112327107653,0.04601707359888796,38935,4.226377982671145,0.4651770874841019,,,,,,NORMAL,,SPY
2010-11-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,936881,42660,295563,423382,139744,103282,162243,17367,25932,139746,102953,ES,2010-11-26 15:30:00-05:00,-58961,-6.293328608435863,0.010471278238372683,,,283638,30.27470938144759,-0.3185792149846023,,,-252903,-26.99414333303803,0.8679292258446907,-8565,-0.9142036181756275,-0.2601923854648621,36793,3.927179652485214,-0.29919833018593067,2010-12-01,125.75,114.08399887084961,0.19409365601811523,283.18085855031666,NORMAL,,SPY
2010-11-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,941143,43891,299748,423682,141570,100714,151491,16569,24062,136063,104048,ES,2010-12-03 15:30:00-05:00,-50777,-5.395248118511215,0.8980804899246486,,,282112,29.975466002509716,-0.29924337893787367,,,-255857,-27.185773044053878,-0.19162971101584958,-7493,-0.7961595634244742,0.1180440547511532,32015,3.401714723479854,-0.5254649290053601,,,,,,NORMAL,,SPY
2010-12-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,980643,50378,321642,419867,127102,102794,159509,17376,24840,150204,107526,ES,2010-12-10 15:30:00-05:00,-56715,-5.783450246419951,-0.38820212790873665,,,292765,29.854391455402222,-0.12107454710749366,,,-271264,-27.66185043894669,-0.47607739489281187,-7464,-0.761133256445006,0.03502630697946829,42678,4.352042486409427,0.9503277629295734,,,,,,NORMAL,,SPY
